stop_id,stop_code,stop_name,lat,lon,Zip Codes
4570,4570,Ohlen Station (NB),30.363467,-97.728784,78757
4571,4571,Burnet/Colfax,30.367566,-97.727715,78757
4572,4572,Crossroads Station (NB),30.370976,-97.726817,78757
4573,4573,Crossroads Station (SB),30.371234,-97.727017,78757
4574,4574,Ohlen Station (SB),30.363467,-97.72905,78757
4576,4576,Mesa/Paint Rock,30.36636,-97.7611,78731
4578,4578,Burnet/Twin Oaks,30.340324,-97.739058,78757
4579,4579,Burnet/Rockwood,30.367142,-97.728061,78757
4580,4580,Anderson/Gault,30.350302,-97.718359,78758
4581,4581,Airport/Shady,30.259748,-97.693656,78721
4586,4586,400 Martin Luther King/Trinity,30.279666,-97.734311,78705
4587,4587,Koenig/Arroyo Seca,30.332304,-97.734417,78757
4588,4588,2607 Allandale/Cary,30.33533,-97.747,78756
4592,4592,Cameron/Glencrest,30.319114,-97.69749,78723
4593,4593,801 Clyde Littlefield/Red River,30.283302,-97.728684,78701
4600,4600,1st/Bronco,30.474202,-97.973709,78645
4602,4602,Martin Luther King/Scottsdale,30.286309,-97.678798,78723
4606,4606,Tannehill/Webberville,30.284396,-97.670845,78721
4609,4609,Cameron/Ridgehaven,30.315381,-97.70186,78723
4610,4610,6400 North Hampton/Bristol,30.3138,-97.681756,78723
4611,4611,4701 Loyola/Manor,30.309468,-97.666739,78723
4612,4612,5627 Loyola/Millrace,30.302822,-97.657453,78724
4613,4613,5911 Loyola/Crystalbrook,30.302554,-97.653518,78724
4614,4614,Loyola/Johnny Morris SE Corner,30.299874,-97.647843,78724
4615,4615,Loyola/Johnny Morris NE Corner,30.29995,-97.647303,78724
4617,4617,6809 Wentworth/Riverstone,30.294894,-97.630057,78724
4619,4619,Colony Loop/Decker,30.294341,-97.62633,78724
4626,4626,Slaughter/1st,30.173762,-97.80117,78748
4630,4630,1518 Barton Springs/Jessie,30.261763,-97.760486,78704
4646,4646,3505 Lamar/37th,30.303981,-97.743764,78705
4648,4648,Steck/Shoal Creek,30.365507,-97.736934,78757
4649,4649,Steck/Daleview,30.365892,-97.737465,78757
4650,4650,Balcones/Northland,30.33696,-97.75756,78731
4651,4651,North Hills/Valleyside,30.34922,-97.75418,78731
4652,4652,3535 Greystone/Wood Hollow,30.358258,-97.751138,78731
4654,4654,10135 Lake Creek/US 183,30.462312,-97.791684,78729
4655,4655,10007 Lake Creek/Pecan Park,30.467978,-97.787873,78729
4656,4656,Lake Creek/FM 620,30.468862,-97.789255,78717
4657,4657,Museum Station (NB),30.2793,-97.74119,78701
4658,4658,Jollyville/Balcones Woods,30.407651,-97.747776,78759
4659,4659,Balcones Woods/Research,30.407777,-97.747021,78759
4667,4667,4609 12th/Springdale,30.278604,-97.686295,78721
4668,4668,12th/Luna,30.27828,-97.69077,78721
4670,4670,3500 12th/Greenwood,30.277482,-97.696869,78721
4671,4671,13701 McCallen/Center Ridge,30.417607,-97.661907,78660
4672,4672,12801 McCallen/Parmer,30.405922,-97.663623,78753
4682,4682,Braker/Burnet NW Corner,30.391615,-97.723148,78758
4688,4688,Research/Hamilton,30.401655,-97.745247,78759
4690,4690,Research/Technology,30.43266,-97.76536,78727
4691,4691,Research/Burnet,30.37228,-97.72535,78757
4692,4692,Riverside/Airport Commerce,30.220133,-97.693126,78741
4696,4696,11300 Lamar/Braker,30.382734,-97.686052,78753
